entry_index,timestamp,symbol,side,entry_price,source_close,proxy_bid,proxy_ask,spread_pct,signal_score_pct,threshold_pct,ari_threshold_pct,theo_threshold_pct,ari_clears,theo_clears,consistent,admission_score,required_score,mfe_240m_points,mae_240m_points,return_60m_points,mfe_60m_points,mae_60m_points,return_120m_points,mfe_120m_points,mae_120m_points,return_180m_points,mfe_180m_points,mae_180m_points,return_240m_points
7456,2025-05-21T05:00:00+00:00,XAUUSD,Buy,3318.531771,3318.199951,3317.868131,3318.531771,0.0002,0.006491,0.0036,0.0036,0.0005,True,True,True,65,45,3.968229,-12.83182,3.368131,3.968229,-6.031771,-6.731722,3.968229,-8.931674,-7.83182,3.968229,-12.83182,-2.931674
7457,2025-05-21T06:00:00+00:00,XAUUSD,Buy,3322.232092,3321.899902,3321.567712,3322.232092,0.0002,0.005326,0.0036,0.0036,0.0005,True,True,True,55,45,-0.631995,-16.532141,-10.432044,-0.631995,-12.631995,-11.532141,-0.631995,-16.532141,-6.631995,-0.631995,-16.532141,-8.032141
7468,2025-05-21T17:00:00+00:00,XAUUSD,Buy,3319.131929,3318.800049,3318.468169,3319.131929,0.0002,0.003841,0.0036,0.0036,0.0005,True,True,True,55,45,8.068022,-4.931978,-2.631929,-0.131929,-4.931978,1.767974,8.068022,-4.931978,-2.531831,8.068022,-4.931978,0.267974
7475,2025-05-22T01:00:00+00:00,XAUUSD,Buy,3339.3339,3339.0,3338.6661,3339.3339,0.0002,0.006754,0.0036,0.0036,0.0005,True,True,True,65,45,7.466149,-11.933998,2.966149,7.266198,-1.8339,-2.733802,7.466149,-3.733802,0.266198,7.466149,-5.933998,-5.8339
7476,2025-05-22T02:00:00+00:00,XAUUSD,Buy,3342.634279,3342.300049,3341.965819,3342.634279,0.0002,0.006899,0.0036,0.0036,0.0005,True,True,True,65,45,4.16577,-16.134279,-6.034181,4.16577,-7.034181,-3.034181,4.16577,-9.234376,-9.134279,4.16577,-15.234376,-15.034181
7477,2025-05-22T03:00:00+00:00,XAUUSD,Buy,3336.933758,3336.600098,3336.266438,3336.933758,0.0002,0.004486,0.0036,0.0036,0.0005,True,True,True,55,45,3.66634,-13.533855,2.66634,3.466145,-3.533855,-3.433758,3.66634,-9.533855,-9.33366,3.66634,-10.433758,-8.633709
7478,2025-05-22T04:00:00+00:00,XAUUSD,Buy,3339.934058,3339.600098,3339.266138,3339.934058,0.0002,0.004331,0.0036,0.0036,0.0005,True,True,True,55,45,0.66604,-29.434058,-6.434058,0.66604,-12.534155,-12.33396,0.66604,-13.434058,-11.634009,0.66604,-16.534155,-28.234106
7480,2025-05-22T06:00:00+00:00,XAUUSD,Sell,3327.267338,3327.600098,3327.267338,3327.932858,0.0002,-0.004398,0.0036,0.0036,0.0005,True,True,True,55,45,38.767338,-4.532711,-1.032711,3.867435,-4.532711,15.567386,16.767338,-4.532711,21.867435,23.467289,-4.532711,37.567386
7482,2025-05-22T08:00:00+00:00,XAUUSD,Sell,3311.368781,3311.699951,3311.368781,3312.031121,0.0002,-0.008354,0.0036,0.0036,0.0005,True,True,True,75,45,29.16883,-3.631219,5.968879,7.568732,-2.33117,21.66883,22.868781,-2.33117,-2.931268,29.16883,-3.631219,7.768684
7483,2025-05-22T09:00:00+00:00,XAUUSD,Sell,3305.069362,3305.399902,3305.069362,3305.730442,0.0002,-0.00843,0.0036,0.0036,0.0005,True,True,True,75,45,22.869411,-10.930638,15.369411,16.569362,-3.230686,-9.230686,22.869411,-9.930638,1.469265,22.869411,-9.930638,18.16946
